series,series_code,name,code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Armed forces personnel (% of total labor force),arms_pers,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.943082488,1.865286079,1.798958403,1.725965452,1.659197207,2.075822177,2.037057145,3.256037588,3.152413553,3.477318639,3.417370184,3.332688344,3.389478117,3.216076926,3.238342628,3.176553332,3.257021197,3.193037572,3.132877922,3.076957922,2.848186028,2.7925372,2.735012314,2.629190262,2.724492093,2.688424257,2.657246454,..
Armed forces personnel (% of total labor force),arms_pers,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.773252925,1.292802166,1.197075306,1.106196866,1.030739397,8.269732326,8.934185045,8.711273667,7.948645392,7.748098471,7.49507199,..,2.021914861,2.065843846,0.406323293,0.387407589,0.714914318,0.702016356,1.271845296,3.387433997,3.950253586,4.1880566,3.950004842,3.653079325,3.227522236,3.166264159,3.061089103,..
Armed forces personnel (% of total labor force),arms_pers,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.555112658,4.625567433,4.696908495,6.371214191,4.985792338,4.932036537,4.949072214,4.982925176,4.997419851,3.02616399,2.017795461,1.666848505,1.652206656,1.754780021,0.907713911,1.1594138,1.174348662,1.201992642,1.202942866,1.159744369,1.113173102,0.680488863,0.666226696,0.637642673,0.638255535,..
Armed forces personnel (% of total labor force),arms_pers,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),arms_pers,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),arms_pers,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.334514395,2.957718818,2.44353991,2.3607895,2.140514426,2.107183076,1.786372063,2.048634418,2.046260071,1.9621117,1.750695324,2.098175885,1.531605515,1.745942999,1.527822159,1.472948551,1.326216774,1.361949007,1.314152694,1.267123358,1.221502452,1.178706397,1.136854661,1.096416013,1.057604174,1.02054185,0.985592823,..
Armed forces personnel (% of total labor force),arms_pers,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),arms_pers,Arab World,ARB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.419588079,3.929119655,3.601375,3.473995844,3.259927435,4.264990198,4.276127983,4.240224271,4.189453204,3.878374484,3.862722501,3.878239705,3.746111821,3.625569826,3.249949187,3.242690756,3.687148774,3.216883561,3.307182925,3.214379907,3.188128978,3.032458988,2.920884419,2.32042386,2.298731472,2.294290889,2.171119441,..
Armed forces personnel (% of total labor force),arms_pers,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.630370619,0.507749859,0.460053257,0.450044319,0.467231181,0.657039296,0.677624316,0.665938334,0.653074072,0.62832753,0.621567103,0.606779034,0.6006876,0.596158958,0.5796157,0.574607875,0.592319334,0.591474225,0.590549932,0.564767412,0.571774495,0.554166849,0.548749259,0.551651844,0.55004945,0.541131345,0.535168297,..
Armed forces personnel (% of total labor force),arms_pers,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.405427057,1.512677316,3.325111687,4.608785857,4.473570315,4.712426127,4.219684206,4.227173264,3.291165438,3.333149881,3.52262553,3.5111954,3.759727335,3.745049274,3.586384558,3.198230921,3.201966312,4.191769889,4.02224083,3.954936622,3.503776729,3.471412108,3.477507045,3.511472,3.499661082,..
