name,code,series_code,series,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,gdp_pc,GDP per capita (constant 2010 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"364,570572952","376,7587142045","364,0954360218","389,4163577911","397,9859047419","440,3681553436","444,9501379324","524,8235332116","553,3002893831","569,2333877214","630,4274125674","633,6584112613","630,3200140243","620,0565249236","617,8899723592",..
Albania,ALB,gdp_pc,GDP per capita (constant 2010 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"2110,6332178637","2187,642806099","2205,0529441704","2182,6319179314","2110,4414282952","2104,3085836863","2180,3720905652","2120,4228388739","2051,243570188","2193,2638245449","1947,8835449081","1379,8169783237","1288,2589649109","1420,5732879587","1547,9543529201","1764,6992963275","1937,2900719809","1738,1664604343","1906,7172614423","2177,8966330736","2337,9423863713","2547,3773160862","2663,1404769259","2827,455777507","3001,4086179316","3189,3951111769","3383,893725612","3610,7275537064","3775,3809877597","3928,3386382424","4094,3588319192","4210,0821985061","4276,9215501923","4327,6445180272","4413,5615829096","4524,9909928901","4684,9670340204",..
Algeria,DZA,gdp_pc,GDP per capita (constant 2010 US$),"2466,0382377392","2078,2219326415","1628,3887246985","2133,318606966","2200,8138755243","2276,1469980644","2107,8003906998","2242,4504165852","2414,0166952307","2543,5632650632","2691,8023171658","2321,3504021634","2877,7452645898","2906,7005021337","3039,420570957","3104,4935728375","3270,6803555066","3345,3780165806","3548,9000651624","3702,7774497619","3620,7035374405","3616,0163127638","3729,2571780429","3809,8037633882","3900,8504795364","3924,7092712565","3825,9040177309","3691,6475554057","3554,6227403699","3613,146593452","3550,0326715417","3422,6386182094","3403,903452224","3259,8436797717","3164,8985771543","3223,5575604032","3297,8633745583","3281,1021390954","3397,4101977919","3457,1370464976","3541,0720367973","3600,4372541096","3754,51627515","3974,1750320223","4091,1442350798","4273,3127514677","4282,3282309175","4359,3757475225","4390,4996327596","4386,0388955889","4463,3946748895","4504,9200981321","4564,4350167897","4596,2196273881","4675,8850244767","4759,5952415194","4827,7242513873",..
American Samoa,ASM,gdp_pc,GDP per capita (constant 2010 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"10613,9115418862","10630,4536535068","10661,173537835","10644,5810685804","10282,4565949728","10619,6136467331","10500,3858391248","10199,0601502139","10352,8227618312","10442,7264995652","10000,3110739949","9711,1127165317","9779,8834872208","9884,1118660505","9614,472671798",..
Andorra,AND,gdp_pc,GDP per capita (constant 2010 US$),..,..,..,..,..,..,..,..,..,..,"42137,5189947395","41883,1412123491","43051,2231750558","44201,7280770732","44648,3822216412","43158,00760544","43079,8158044325","42958,8938568115","42339,3340715661","41041,8667765521","40495,698015877","38896,6259416659","37756,4209028065","36776,5149572427","35820,9317453704","35095,9925402225","34744,3924512447","35204,9894579815","35546,6495470777","35831,6208246801","35780,5196725988","35291,7114092924","34278,6471002551","32766,0596707401","32633,8251274783","32917,6488213571","34175,2600684125","37293,2824132908","38595,7232096964","40035,4824490851","40801,5421300322","41420,8461776969","42396,3023980284","45519,4923839434","47032,8668884706","48831,9293599384","49708,4004893013","48710,6646202996","43900,9517028654","41979,8659013974","39736,3540626699","38205,7710887919","38190,5865853723","39104,301849019","40785,0492283396","41765,9203531235","42681,6038239666",..
Angola,AGO,gdp_pc,GDP per capita (constant 2010 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"2574,0512428269","2570,5295059746","2700,1140305326","2778,0932322754","2715,3276872527","2630,623572963","2519,96606028","2271,0295004254","1654,5370891637","1658,3100938405","1775,8994612464","1919,2117663338","2015,0139215335","2094,4785275674","2101,9453340243","2100,572383295","2119,3259315174","1906,0865798711","1936,5996605326","2071,9052652985","2364,194266479","2754,4136365417","3258,4752788009","3578,8728059932","3536,7982956881","3529,0534817376","3538,7156851135","3591,0274381217","3702,5991801117","3747,5683597363","3730,1690627948","3582,6475623499",..
Antigua and Barbuda,ATG,gdp_pc,GDP per capita (constant 2010 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"4429,5425525113","4595,4035568556","4952,9204473203","5363,4230258037","5596,6864331441","5639,6857834531","6009,3027320176","6705,7025477042","7315,8166233318","8272,0243580632","8945,4837546654","9522,2941783404","10087,2651462129","10380,307825656","10509,9922411754","10457,7140897922","10772,0218720648","11205,8221937841","10440,7068934545","10834,6287714332","11117,0947807136","11335,1285555574","11470,9864981247","11981,9162572389","11191,1024034415","11147,2633922514","11683,4623449575","12218,7446732722","12857,1641591771","14325,4809859587","15466,9527742436","15278,8740470609","13270,6971014231","12174,6978594572","11789,7990769713","12069,8113772725","11928,2184658505","12403,5282209861","12771,7675773519","13315,5086311154",..
Arab World,ARB,gdp_pc,GDP per capita (constant 2010 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"4087,6626136559","4591,3890542699","4822,6074379999","4628,3948793621","4997,7718299403","5280,433792842","5252,3342251872","4632,7291692769","4197,0262747143","4115,0589652644","3907,2822266678","3963,0919251401","3825,8748342965","3926,6103682682","3899,9735795695","4256,4300958865","4207,4389290124","4330,2747955371","4353,1475041537","4381,2094818779","4367,87669564","4461,7854682341","4548,6692340584","4681,2701688711","4667,6910087862","4816,7118519669","4792,8134277098","4720,2362771315","4865,990156937","5204,4915278079","5378,4339973391","5594,9499872469","5711,7168032141","5899,7653677122","5783,5282048143","5917,5743077876","5986,8212191259","6154,6265903117","6240,6528699062","6285,5266728469","6364,6730445306","6438,0452632576",..
Argentina,ARG,gdp_pc,GDP per capita (constant 2010 US$),"5605,1917221384","5815,2335573695","5675,0600428848","5290,766222176","5738,5976902198","6251,3218203559","6120,7121838464","6226,9977550946","6434,9537767453","6954,7641154732","7056,8480638535","7335,7591360517","7329,9211577534","7407,3667535068","7685,8572120564","7559,143749205","7291,8404286361","7681,0175707894","7227,5641243998","7849,3633396778","8052,6896545861","7478,1304322208","6996,9629184465","7154,4112545842","7198,7199419411","6550,1503229587","6958,7524703869","7053,9856408525","6772,2230166101","6173,6849809631","5939,7569156017","6598,7226348274","7285,4294277147","7612,6811532961","7952,7115517332","7630,022274099","7955,1276517628","8500,9403618464","8728,9476511661","8339,8943886809","8182,6865023087","7735,4933643901","6816,7348553778","7337,792037833","7913,7431236248","8522,5227323878","9112,1131633865","9830,680919822","10125,1262721185","9428,5025411718","10276,2604977053","10780,0156577357","10557,8853892544","10699,1977159711","10323,20693976","10490,0195683235","10153,9979117337",..
Armenia,ARM,gdp_pc,GDP per capita (constant 2010 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1796,9364316595","1601,5938225497","949,0332212788","886,0327859252","956,4708855063","1043,5431409339","1121,8816286935","1172,1368024271","1267,5752826465","1317,7419234382","1404,3214620463","1548,0758512453","1761,8882720479","2019,9848673648","2244,2201707024","2571,9857555205","2933,8334784255","3366,1621873291","3629,1577021411","3136,8117272056","3218,3816548847","3371,6728305502","3606,4805535356","3710,5757426146","3827,3431954814","3935,2887724297","3932,554617334",..
