series,name,code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Military expenditure (% of GDP),Algeria,DZA,..,..,..,2.457889091,3.432318283,3.364758455,3.438173825,2.944324158,2.576468399,2.331300129,2.032357455,1.968538458,1.624750683,1.570503975,1.969501577,2.135585578,2.711153341,2.249032608,2.381432035,2.140801579,2.102153823,1.81870427,2.062620495,1.951647414,1.730567992,1.645382676,1.769615959,1.793327162,1.740772459,1.535553959,1.457358755,1.23611608,2.194237699,2.55660378,3.137780742,2.9562443,3.094124505,3.637364334,3.965659634,3.755082753,3.433382401,3.820692641,3.700826621,3.251210204,3.283886291,2.834176721,2.643808855,2.923322167,3.024746187,3.848515513,3.518023204,4.325706338,4.461079171,4.844503388,5.548484044,6.274210027,6.424473865,..
Military expenditure (% of GDP),Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,1.629608236,..,..,1.868910331,1.610824785,1.722065765,2.046086948,2.011474736,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.369786136,1.950429571,1.861299883,2.237069422,2.328002758,2.060751318,1.897472751,1.778592618,1.144715113,1.050018937,1.297728435,0.993453782,0.892336195,..
Military expenditure (% of GDP),Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.049684683,5.84831709,5.651595745,5.441282088,6.117504506,5.651426333,5.623921762,5.859850733,5.615004704,5.165676383,5.888300825,5.791270528,4.448451975,3.199297902,2.500385762,2.099713037,1.379028731,1.283081573,1.238243077,1.249208821,1.246359339,1.309292251,1.320034991,1.336844537,1.381158684,1.350005455,1.567769463,1.82076528,1.984868857,1.51721714,1.558591893,1.528266338,1.487082577,1.408982101,1.346515991,1.167601287,1.236156386,..
Military expenditure (% of GDP),American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (% of GDP),Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (% of GDP),Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.15,17.3,22.25,21.9805,19.43233333,17.46366667,7.1025,7.679230769,17.5472119,5.709593679,4.707392768,2.447848157,5.972251161,2.642007707,17.33469221,6.392603154,4.524353815,3.510235068,4.722133792,4.162414738,4.834841974,4.714844928,3.362231849,3.758214638,4.386128818,4.244884292,3.495619369,3.593357737,4.876031618,5.400213168,3.515938573,2.963693981,..
Military expenditure (% of GDP),Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (% of GDP),Arab World,ARB,4.624765951,4.625487898,5.25810991,3.786178177,4.688721881,5.833810849,5.473423952,5.646633563,7.38456517,8.422073669,8.129826373,7.944765865,7.513712107,7.965756098,..,..,..,10.96812711,10.75568418,9.752906662,8.627451278,9.988937059,12.28580057,11.40702293,11.9787328,10.69622506,..,8.532694167,8.054725538,7.804263709,..,11.44870183,8.705722317,7.919333799,7.332354439,6.642951372,6.070481825,6.254937,7.159931923,6.187021777,6.076589268,6.507778825,5.989643096,5.55705237,5.163154142,4.719598977,4.47096301,4.602682035,4.25602669,5.40702653,5.116700852,5.000641336,5.180449845,5.816010317,6.289190618,7.451171841,6.201466514,..
Military expenditure (% of GDP),Argentina,ARG,1.178627305,1.282918323,1.248029849,1.325595968,0.959740697,0.888224774,0.97132596,1.049383494,1.275275875,1.416857943,1.408098695,1.411699706,1.378372138,1.368165506,1.24706449,1.504976223,2.804405053,2.955213905,3.485692319,3.446955163,3.098635638,3.465207535,2.704496053,2.739062928,2.162039144,2.299717248,2.313678749,2.28438688,2.124939223,1.880371426,1.450915541,1.506926514,1.422532823,1.422803061,1.457038533,1.473074534,1.241228405,1.140139111,1.136317072,1.220359548,1.148823687,1.184234644,1.091880479,1.060893646,0.883295359,0.847154784,0.788233877,0.792548175,0.762756475,0.886508577,0.814878106,0.764287094,0.784824721,0.83773643,0.878100919,0.86472284,0.955449131,..
Military expenditure (% of GDP),Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.095489861,2.121652471,..,4.05931198,3.281866893,3.909403452,3.528096049,3.697375386,3.560024873,3.127249385,2.697714749,2.728372214,2.741996705,2.871931363,2.947613156,3.042574701,3.395579363,4.157049908,4.265646056,3.853946441,3.583766919,3.997244557,3.943378265,4.239225803,4.080226863,..
