,,1958-1962,1963-1967,1968-1972,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017
Afghanistan,Total population (1000 inhab),9344.0,10369.0,11717.0,13056.0,12667.0,11338.0,13746.0,18034.0,21487.0,25878.0,29727.0,32527.0
Afghanistan,Population density (inhab/km2),14.31,15.88,17.95,20.0,19.4,17.37,21.06,27.62,32.91,39.64,45.53,49.82
Afghanistan,GDP per capita (current US$/inhab),58.5,161.4,136.2,226.2,274.6,,,,192.2,380.4,690.8,590.3
Afghanistan,Human Development Index (HDI) [highest = 1] (-),,,,,,,0.2967,,0.3343,,463,0.4653
Afghanistan,Long-term average annual precipitation in depth (mm/year),327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0
Afghanistan,Surface water produced internally (10^9 m3/year),37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5
Afghanistan,Groundwater produced internally (10^9 m3/year),10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65
Afghanistan,Total internal renewable water resources per capita (m3/inhab/year),5046.0,4547.0,4024.0,3611.0,3722.0,4159.0,3430.0,2615.0,2194.0,1822.0,1586.0,1450.0
Afghanistan,Surface water: entering the country (total) (10^9 m3/year),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Afghanistan,Surface water: leaving the country to other countries (total) (10^9 m3/year),42.22,42.22,42.22,42.22,42.22,42.22,42.22,42.22,42.22,42.22,42.22,42.22
Afghanistan,Water resources: total external renewable (10^9 m3/year),18.18,18.18,18.18,18.18,18.18,18.18,18.18,18.18,18.18,18.18,18.18,18.18
Afghanistan,Dependency ratio (%),28.72,28.72,28.72,28.72,28.72,28.72,28.72,28.72,28.72,28.72,28.72,28.72
Afghanistan,Total renewable water resources per capita (m3/inhab/year),6992.0,6301.0,5576.0,5004.0,5157.0,5762.0,4753.0,3623.0,3040.0,2525.0,2198.0,2008.0
Afghanistan,Total exploitable water resources (10^9 m3/year),,,,,,,,,,,,
Afghanistan,Total water withdrawal (10^9 m3/year),,,,10.7,,26.11,,,20.28,,,
Afghanistan,Agricultural water withdrawal as % of total water withdrawal (%),,,,,,99.0,,,98.62,,,
Afghanistan,Industrial water withdrawal as % of total water withdrawal (%),,,,,,0.0,,,0.6336,,,
Afghanistan,Municipal water withdrawal as % of total withdrawal (%),,,,,,1.0,,,0.7604,,,
Afghanistan,Total freshwater withdrawal (primary and secondary) (10^9 m3/year),,,,10.7,,26.11,,,20.28,,,
Afghanistan,MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%),,,,16.38,,39.97,,,31.04,,,
Afghanistan,Agricultural water withdrawal as % of total renewable water resources (%),,,,,,39.57,,,30.61,,,
Afghanistan,SDG 6.4.2. Water Stress (%),,,,23.04,,56.22,,,43.67,,,
Afghanistan,Total population with access to safe drinking-water (JMP) (%),,,,,,,21.3,25.0,33.8,42.6,51.6,55.3
